,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.09744242501915237,0.1883178409754447,0.10578674160920395,0.06983934856657575,0.18863054051905195,0.1997012410976219,0.15015111707758103,0.11573560184083416,0.1139261686523049,0.17278411399815677,0.12712353006020094,0.14351965868230596,0.166185546544861,0.14543451273274505,0.1761048258541984,0.17474740905951405,0.09138050951849438,0.14202729814514015,0.10914397315525368,0.136611984363049,0.11760616120145918,0.20009828956527048,0.19850402663656122,0.11170175380455527,0.14472143695257073,0.1848067105797014,0.1482979941375532,0.20014972339980833,0.1785146782534503,0.06160408086303106,0.05825471378711796,0.1262180260799445,0.16460418855016778,0.2730042168179191,0.09891685334177254,0.17452778513384015,0.09590206821160663,0.08074704891847355,0.16783561061097177,0.19819365397633584,0.14399595196989545,0.14298543130421984,0.1352219756586256,0.14397748528125026,0.12789960010347678,0.10203338419101038,0.16674926452055372,0.15501866371789125,0.17751290180531698,0.1937399398159682,0.09574640715584568,0.12919877700487678,0.1117943009910668,0.1183334119808189,0.16239487179425616,0.19545337565351015,0.2003029038983156,0.11896506390202766,0.1445818946634263,0.16642362763788324,0.1458807169238257,0.18955299800328299,0.1760571589315992,0.06432654782573265,0.05887342119506653,0.10559316988613804,0.13277240725249845
lh_caudalanteriorcingulate,0.09744242501915237,0.0,0.1159427561612598,0.1264778739306625,0.06641126171808229,0.1411781230941186,0.13782806082846424,0.13496044238055022,0.18954393500869252,0.14253460008638227,0.1454093984511478,0.13959063083096088,0.13170208690005958,0.11951942371492884,0.1065069248268622,0.11197000009866812,0.10330868244787551,0.08945911017371215,0.11484409963340364,0.13180341091862668,0.12544455813274852,0.2582213125438132,0.12246320287131873,0.13762041854906165,0.20324790601054377,0.14435626263353799,0.13574577519915276,0.12497314019150427,0.10576962384785013,0.12758858701456363,0.06691740922594804,0.05901154897096865,0.11696405434212655,0.11211668276480663,0.10341475528116875,0.29659260785660047,0.11796860147230721,0.11612282704202073,0.07507237892460517,0.15316979220790003,0.12463469429983166,0.11629076834231893,0.16369118464623636,0.13958980308825028,0.17774036388273745,0.13312223739095874,0.14483484805944555,0.12032327196491882,0.11045784582309041,0.10437036207025291,0.10788841920268889,0.10195066616726577,0.10597080359799543,0.143610124537565,0.12100595022892865,0.20194538138000206,0.12203942226306262,0.14238507797984343,0.21438050052779145,0.14721380861249111,0.13836781042078528,0.12402656824955395,0.10175889602219845,0.13188561021886938,0.06653159932390672,0.05641609112686492,0.10449224227937472,0.10075070114468876
lh_caudalmiddlefrontal,0.1883178409754447,0.1159427561612598,0.0,0.14010559348923293,0.10190288717005554,0.22268317215266198,0.34760279711165,0.23158618538957015,0.13675205960289355,0.18172396792319123,0.25586835728634577,0.17931110620190777,0.19247679897418127,0.24162352675095833,0.15471088065648433,0.1963495508478327,0.2709902207779202,0.15930221583462226,0.24816181080048322,0.11546274002656126,0.232822013423622,0.12613805672169756,0.2762848448642453,0.30320813240882794,0.13437242870050717,0.263196287573107,0.2905161362180346,0.2830332929095217,0.2610616006879519,0.3552850883822648,0.09789173858675644,0.085618644663841,0.14719018454676888,0.16935731417073852,0.22260037894678664,0.11012403558928163,0.37873579490325127,0.14204297262280036,0.11493134988956391,0.1791424759770371,0.33780248880786995,0.2040190938083007,0.1610773320139159,0.20505715355238557,0.19207464580755745,0.16763847740671525,0.15023867602762978,0.26789819702605727,0.13855045053473286,0.20162849275473066,0.2721999170111428,0.18015499643624852,0.2333216240793139,0.12852412246438155,0.18570850460002822,0.15902158676685568,0.28812134930401245,0.30160720363801774,0.13221021597755117,0.2459665675616581,0.2783409054001578,0.2607678139229419,0.25045173029806167,0.3232344416017528,0.11376722551971742,0.08432926473100381,0.1272636261226914,0.14862857478154323
lh_cuneus,0.10578674160920395,0.1264778739306625,0.14010559348923293,0.0,0.07569822237950984,0.12954105631991683,0.1597306721448775,0.14284575972454752,0.1514602172128019,0.26949526196962104,0.14524914227220243,0.25530833049761603,0.17980200733090643,0.11467491424901742,0.11660277254634285,0.16480095028872407,0.13479106335466245,0.1143431799795774,0.13410424005440727,0.18170165753498446,0.22924158791750873,0.12873730634908562,0.13142880730114534,0.17516639997268346,0.10763397561543243,0.1728440280443391,0.1411973231725946,0.20218864982091306,0.10998932473613936,0.14891950732358236,0.09798095620589548,0.0632772055310472,0.17152151271734226,0.09217650692648723,0.09540741091046684,0.12670223875779166,0.135662542405349,0.36991136644960265,0.08236039117696707,0.10413782030842082,0.1379196977080537,0.12265575703580077,0.14908398844366505,0.27441552948385,0.1520419188673316,0.25700251009425873,0.18907561903194686,0.11652622547776256,0.13543945139573757,0.13243573476077625,0.13891340066442845,0.13511634396205752,0.15182538869279702,0.22760202111459243,0.20496125545072794,0.116054310692533,0.14719265542697277,0.1478790948039102,0.13216205290681593,0.18295238750980092,0.14981992394500723,0.18121936591481022,0.10877855870272904,0.15427300260183363,0.10571746971064315,0.05901919179369093,0.10974142556432069,0.08201226200694889
lh_entorhinal,0.06983934856657575,0.06641126171808229,0.10190288717005554,0.07569822237950984,0.0,0.12011263647385818,0.09696671225659975,0.1360188676523318,0.10706074299603817,0.09845200733663305,0.11486602131887065,0.10704027667789398,0.1165866580396631,0.1510176377954534,0.13833761943165096,0.09042582112226823,0.0910833093018619,0.13441628699495725,0.10200084941545424,0.05753010205311192,0.10285664060822708,0.07121727158671211,0.12278838041168899,0.09114550504575553,0.10093693527898494,0.09871796860997098,0.11366842991661823,0.08491264907254512,0.1272351570280228,0.11430737628055611,0.09735531787588662,0.17741825860311175,0.07093293763414668,0.08132266336185459,0.07520668592093185,0.06869862474251717,0.09484766728018888,0.09007943414725955,0.35712547614483564,0.10848732115982995,0.09830161935433963,0.1664668641757279,0.12484846075885524,0.10931262262637113,0.10286858569032487,0.10095069346048083,0.10426783020423552,0.13985470033552622,0.10376928365819217,0.09450383840173318,0.09735105162252232,0.12024384242275486,0.09027883760947406,0.07523157560129336,0.09771030676679136,0.08631661863758062,0.11381746271230414,0.09738547198540344,0.07987149619085221,0.08752393240831588,0.1172922142541129,0.08009255337730593,0.13507753864076275,0.09851988554304832,0.10186352367704948,0.18761118064984736,0.06492950198189097,0.08596426518072166
lh_fusiform,0.18863054051905195,0.1411781230941186,0.22268317215266198,0.12954105631991683,0.12011263647385818,0.0,0.25257344473866045,0.29144221775644685,0.19520491044541197,0.18096567803137775,0.33922527785869044,0.19154557446809595,0.21202863037741349,0.2713378481722697,0.22185210577330935,0.18349067057360827,0.18703776500208766,0.14168213318976275,0.19883010573388601,0.11009380922688455,0.16932363992495866,0.16233707170390904,0.2557221717236129,0.2555771389804178,0.1914585423078303,0.23823575468239377,0.2906272287306019,0.1594634007647967,0.23313210975536322,0.2638066108929507,0.07972850403196866,0.08530285544915918,0.13800977313915694,0.18432732344864886,0.21320538086859922,0.13382862400276566,0.20198931121350389,0.13275404904939686,0.13461502022458405,0.3804895743009684,0.26564144535700285,0.298293690086221,0.22962143299917123,0.20748696544003,0.2965135983502626,0.17166506749836227,0.15628233406879552,0.285023799354695,0.20379702432991853,0.1858208835339046,0.202660965978929,0.15450424061402765,0.15617167942561125,0.15055944233905566,0.15534190833247652,0.21314557877051826,0.23931546923660882,0.2960141413066711,0.16528367848602438,0.20798211688919727,0.29417050873355816,0.1601538977279531,0.23632838710798762,0.24131528369562733,0.08625595162251401,0.08844923317244999,0.11876122221154128,0.18069235106071338
lh_inferiorparietal,0.1997012410976219,0.13782806082846424,0.34760279711165,0.1597306721448775,0.09696671225659975,0.25257344473866045,0.0,0.2991817221806381,0.162469402747046,0.238498444136407,0.29491209090065396,0.2132332865771152,0.2265189270345013,0.28352965802234237,0.17476387987213685,0.22456350036426204,0.2866017690164539,0.1767462926405437,0.28607492128101547,0.130546776592626,0.24968547132426117,0.14754280153830915,0.3174877552645659,0.3759100939546805,0.1591287088372824,0.34276844536178513,0.34768641609155765,0.3495445661253984,0.2623139614711356,0.44769546500119334,0.10356042636466915,0.08053504126784147,0.1682552284225958,0.17685857087405382,0.22822499612089958,0.12690465225198796,0.36638482740500333,0.16709224935047023,0.11417106411352691,0.20361365919698907,0.45341900522491263,0.2458347362147142,0.18267789277829372,0.27178591098851634,0.2305078705394185,0.1888989415402139,0.18289842497518163,0.3161481917410707,0.15625149516621906,0.2289145870743692,0.3192596172351343,0.21843276660644018,0.2834018874029633,0.1591122530188286,0.2104595955412764,0.18451912032727455,0.3235526655150922,0.3760418115829096,0.1674966661783273,0.3217628232789478,0.33017094729437785,0.3362161596774235,0.25935092584101943,0.38037039695335045,0.11605303886362048,0.08185472265552197,0.14133674577587046,0.15102085390765546
lh_inferiortemporal,0.15015111707758103,0.13496044238055022,0.23158618538957015,0.14284575972454752,0.1360188676523318,0.29144221775644685,0.2991817221806381,0.0,0.17542265925359515,0.2301369918470765,0.2959663895023474,0.1947100344316668,0.2549543491138692,0.40172308736069884,0.2016618002785931,0.18352505426513463,0.20322366860847704,0.20656044545212146,0.23592665572051094,0.10892009330252636,0.1931400095932312,0.14464507941101168,0.2644172610251403,0.24947219857142452,0.1872425581088524,0.3356655859154268,0.31444879757781286,0.1865469639146846,0.23509441536884393,0.3438979674652278,0.10329648465795897,0.09477855927840555,0.13559681966824735,0.1356943917483776,0.1608004350944701,0.12945131258122178,0.24416128592486028,0.15376784396649712,0.16467131047082803,0.23939066687465607,0.30573274939914435,0.4093495003758447,0.2072346755789588,0.25769983016577636,0.24813225487386775,0.17497739202649362,0.20182527082558102,0.3772343924575985,0.1640599384703763,0.1749402662551869,0.22124587255003023,0.2500138513279672,0.19271096039037017,0.1442616686973987,0.17796433098418893,0.1886957050995714,0.26724221499891576,0.2693068368773844,0.16339277133270985,0.27458000146227524,0.3518676659393735,0.19058321248835614,0.23691004492457401,0.2678631344409786,0.11788191372421955,0.09573174736182527,0.10901343106845958,0.13068668873782738
lh_isthmuscingulate,0.11573560184083416,0.18954393500869252,0.13675205960289355,0.1514602172128019,0.10706074299603817,0.19520491044541197,0.162469402747046,0.17542265925359515,0.0,0.17931028930875764,0.19572966363960662,0.19282225625088042,0.17233546444691158,0.15305985486244053,0.15599762745764312,0.1448653893871869,0.13264346638651064,0.12946774670839065,0.14469561369786096,0.13907517698834013,0.1656782091178386,0.2131365713168893,0.1635662042397506,0.17135576338966127,0.18598703461258673,0.17880060694545669,0.1766621205295214,0.1351689667121988,0.14952240184848875,0.15239399277825683,0.08702541505553962,0.08199472433810023,0.13291421678355922,0.1390191986609704,0.12269170400466636,0.20805493213961693,0.1340402300303214,0.16219360409166814,0.11749646291055933,0.1788930419132313,0.15049592115221702,0.16767620133568711,0.2655426999336529,0.19115524131474057,0.20689564276765154,0.1914626668985051,0.19066402524403905,0.1608226996512764,0.17112992576514782,0.1422396866945135,0.1415613801766871,0.14270988464791265,0.13599076729801735,0.1998738505440702,0.16750294901383853,0.20603833108637465,0.1652732760834076,0.17994740437691417,0.2039544061556818,0.16932291813833872,0.19792144036134948,0.1433033233626391,0.1455304649789196,0.16181371973450076,0.09105173798923323,0.07708807686782253,0.10825806940238862,0.12753199818413438
lh_lateraloccipital,0.1139261686523049,0.14253460008638227,0.18172396792319123,0.26949526196962104,0.09845200733663305,0.18096567803137775,0.238498444136407,0.2301369918470765,0.17931028930875764,0.0,0.1947232730957661,0.29716276610597236,0.22317473527783113,0.18665847790239293,0.14434993468218968,0.21844292559218093,0.16862494759543484,0.16568975326397747,0.19792898557156302,0.1499722664007188,0.2832066569927549,0.1592492349486786,0.18779625344544926,0.2400849325822837,0.14691014130567992,0.310374192597728,0.22635216468155703,0.26547124158113977,0.15397358989153342,0.23425910106895997,0.10893569559447633,0.07920054712802793,0.14550149953679078,0.09818609041471747,0.10956960955560131,0.13381272681934347,0.20653150383485308,0.28469104065478484,0.11498151235721135,0.1435506496733289,0.21839467095664822,0.19676819402336018,0.16884885653098383,0.47808975793030717,0.19550399054782389,0.2949007338789593,0.2633795236664666,0.1983271987112856,0.1464739896373604,0.17017622428883203,0.17401718351089995,0.21606302777130296,0.2089965609948635,0.2211844827196495,0.2880396804501884,0.15004382870565705,0.2043760850279328,0.20427096752497317,0.15039060202330684,0.2931012864586618,0.24513740712896437,0.25383691462759217,0.1502577386409715,0.21604976408436624,0.11916534588040804,0.07603301953591432,0.10187835708159833,0.08990794442873563
