"","V1"
"lh_bankssts_thickness",-1.03705069579106
"lh_caudalanteriorcingulate_thickness",-0.171688833939097
"lh_caudalmiddlefrontal_thickness",-0.865411017052643
"lh_cuneus_thickness",-0.860655627553416
"lh_entorhinal_thickness",-0.730133030187108
"lh_fusiform_thickness",-0.863827873491996
"lh_inferiorparietal_thickness",-1.14898733375629
"lh_inferiortemporal_thickness",-0.57451552547716
"lh_isthmuscingulate_thickness",-0.425235858991781
"lh_lateraloccipital_thickness",-1.60653718241143
"lh_lateralorbitofrontal_thickness",-0.765401749398575
"lh_lingual_thickness",-0.967547067072888
"lh_medialorbitofrontal_thickness",-0.259060443874843
"lh_middletemporal_thickness",-0.840656952926852
"lh_parahippocampal_thickness",-0.326365879116077
"lh_paracentral_thickness",-1.18063439778814
"lh_parsopercularis_thickness",-0.933682000209806
"lh_parsorbitalis_thickness",-0.646607494301421
"lh_parstriangularis_thickness",-0.907595992876693
"lh_pericalcarine_thickness",-0.591517139297306
"lh_postcentral_thickness",-1.21191376400061
"lh_posteriorcingulate_thickness",-0.313341137056447
"lh_precentral_thickness",-1.11859165506671
"lh_precuneus_thickness",-1.30259079408616
"lh_rostralanteriorcingulate_thickness",-0.347431834438383
"lh_rostralmiddlefrontal_thickness",-0.669711669356245
"lh_superiorfrontal_thickness",-1.13164491030518
"lh_superiorparietal_thickness",-1.569503117522
"lh_superiortemporal_thickness",-1.35466835479768
"lh_supramarginal_thickness",-1.01900550306404
"lh_frontalpole_thickness",-0.285207856775698
"lh_temporalpole_thickness",-0.539783163843719
"lh_transversetemporal_thickness",-0.522784386465995
"lh_insula_thickness",0.0121262524196103
"rh_bankssts_thickness",-0.703128052887185
"rh_caudalanteriorcingulate_thickness",0.0264036872970695
"rh_caudalmiddlefrontal_thickness",-0.980908942950612
"rh_cuneus_thickness",-0.857502331495322
"rh_entorhinal_thickness",-0.48255115499141
"rh_fusiform_thickness",-1.20538184082123
"rh_inferiorparietal_thickness",-1.17916978244006
"rh_inferiortemporal_thickness",-0.685605974368693
"rh_isthmuscingulate_thickness",-0.376692245850046
"rh_lateraloccipital_thickness",-1.60902313457045
"rh_lateralorbitofrontal_thickness",-0.40955217110446
"rh_lingual_thickness",-1.06760344054375
"rh_medialorbitofrontal_thickness",-0.141322247936585
"rh_middletemporal_thickness",-0.764414049169997
"rh_parahippocampal_thickness",-0.393499158950955
"rh_paracentral_thickness",-1.14700537662913
"rh_parsopercularis_thickness",-0.929266093993916
"rh_parsorbitalis_thickness",-0.48134544900815
"rh_parstriangularis_thickness",-0.916768248343615
"rh_pericalcarine_thickness",-0.550567334585648
"rh_postcentral_thickness",-1.23399654768775
"rh_posteriorcingulate_thickness",-0.347764042598757
"rh_precentral_thickness",-1.26403759482472
"rh_precuneus_thickness",-1.31462321616552
"rh_rostralanteriorcingulate_thickness",0.3724043780758
"rh_rostralmiddlefrontal_thickness",-0.686339660681525
"rh_superiorfrontal_thickness",-1.07253239263791
"rh_superiorparietal_thickness",-1.55445562573374
"rh_superiortemporal_thickness",-1.18416824720959
"rh_supramarginal_thickness",-1.03049656026075
"rh_frontalpole_thickness",-0.557430998285644
"rh_temporalpole_thickness",-0.407315161304968
"rh_transversetemporal_thickness",-0.388372674686886
"rh_insula_thickness",-0.337809684172055
