"","V1"
"lh_bankssts",-0.257702004363355
"lh_caudalanteriorcingulate",-0.462474863496162
"lh_caudalmiddlefrontal",-0.50146531127371
"lh_cuneus",-0.14453943983652
"lh_entorhinal",0.00687274594251366
"lh_fusiform",-0.418533435100293
"lh_inferiorparietal",-0.706621376982937
"lh_inferiortemporal",-0.658973792866816
"lh_isthmuscingulate",-0.363636326430351
"lh_lateraloccipital",-0.831121440589874
"lh_lateralorbitofrontal",-0.464954857772705
"lh_lingual",-0.303797944138873
"lh_medialorbitofrontal",-0.259601634447818
"lh_middletemporal",-0.443893506034777
"lh_parahippocampal",-0.309972355847335
"lh_paracentral",-0.553298548395655
"lh_parsopercularis",-0.681458129669974
"lh_parsorbitalis",-0.364308480714827
"lh_parstriangularis",-0.427858973930194
"lh_pericalcarine",0.0179420684863556
"lh_postcentral",-0.31589215800821
"lh_posteriorcingulate",-0.17757148008856
"lh_precentral",-0.491279394671303
"lh_precuneus",-0.753324439308632
"lh_rostralanteriorcingulate",-0.674609273492273
"lh_rostralmiddlefrontal",-0.222666141440632
"lh_superiorfrontal",-0.536381738438103
"lh_superiorparietal",-0.912395462402726
"lh_superiortemporal",-0.184772897292694
"lh_supramarginal",-0.796780834434148
"lh_frontalpole",-0.353094580028354
"lh_temporalpole",-0.143473869687867
"lh_transversetemporal",-0.478613483359291
"lh_insula",-1.02181696556934
"rh_bankssts",-0.262801378617484
"rh_caudalanteriorcingulate",-0.498121049438901
"rh_caudalmiddlefrontal",-0.564593078406811
"rh_cuneus",-0.223497397045536
"rh_entorhinal",-0.037164647006669
"rh_fusiform",-0.494596771241134
"rh_inferiorparietal",-0.625595555554331
"rh_inferiortemporal",-0.591529657522424
"rh_isthmuscingulate",-0.3592243832908
"rh_lateraloccipital",-1.09212163919776
"rh_lateralorbitofrontal",-0.255314719748989
"rh_lingual",-0.367881351866079
"rh_medialorbitofrontal",-0.612021496476724
"rh_middletemporal",-0.5801127443862
"rh_parahippocampal",-0.264049079688323
"rh_paracentral",-0.562167433892406
"rh_parsopercularis",-0.5778589795043
"rh_parsorbitalis",-0.451236100285531
"rh_parstriangularis",-0.252085239215701
"rh_pericalcarine",0.0542456191008835
"rh_postcentral",-0.501064121980313
"rh_posteriorcingulate",-0.223754305462436
"rh_precentral",-0.547469435765416
"rh_precuneus",-0.563323817751
"rh_rostralanteriorcingulate",-0.802765875982054
"rh_rostralmiddlefrontal",0.0121922420353491
"rh_superiorfrontal",-0.69623398472225
"rh_superiorparietal",-0.736880329368038
"rh_superiortemporal",-0.102068327327081
"rh_supramarginal",-0.79642556804955
"rh_frontalpole",-0.379555528327496
"rh_temporalpole",-0.146179514081784
"rh_transversetemporal",-0.574165363731872
"rh_insula",-0.71342666079791
