"","coefficient","Pval","P_FDR"
"lh_bankssts",-1.00000000022691,NA,NA
"lh_caudalanteriorcingulate",1.00000000025644,NA,NA
"lh_caudalmiddlefrontal",-1.00000000005077,NA,NA
"lh_cuneus",-1.00000000021504,NA,NA
"lh_entorhinal",-1.0000000000846,NA,NA
"lh_fusiform",-1.00000000001594,NA,NA
"lh_inferiorparietal",-1.00000000000006,NA,NA
"lh_inferiortemporal",-1.00000000000076,NA,NA
"lh_isthmuscingulate",-1.00000000030597,NA,NA
"lh_lateraloccipital",-0.99999999987328,NA,NA
"lh_lateralorbitofrontal",-1.00000000076426,NA,NA
"lh_lingual",-1.0000000000141,NA,NA
"lh_medialorbitofrontal",-0.999999999901394,NA,NA
"lh_middletemporal",-0.999999999759011,NA,NA
"lh_parahippocampal",-0.999999999973222,NA,NA
"lh_paracentral",-0.999999999923283,NA,NA
"lh_parsopercularis",-0.999999999938919,NA,NA
"lh_parsorbitalis",-0.999999999993913,NA,NA
"lh_parstriangularis",-0.999999999999905,NA,NA
"lh_pericalcarine",-1.00000000024871,NA,NA
"lh_postcentral",-1.00000000029926,NA,NA
"lh_posteriorcingulate",0.999999999260226,NA,NA
"lh_precentral",-1.0000000000683,NA,NA
"lh_precuneus",-0.99999999997839,NA,NA
"lh_rostralanteriorcingulate",-0.999999999982497,NA,NA
"lh_rostralmiddlefrontal",-0.999999999961543,NA,NA
"lh_superiorfrontal",-0.999999999925856,NA,NA
"lh_superiorparietal",-1.00000000021265,NA,NA
"lh_superiortemporal",-0.999999999796306,NA,NA
"lh_supramarginal",-1.00000000012496,NA,NA
"lh_frontalpole",-1.00000000021527,NA,NA
"lh_temporalpole",-1.00000000086565,NA,NA
"lh_transversetemporal",-0.999999999876424,NA,NA
"lh_insula",-0.999999997277946,NA,NA
"rh_bankssts",-0.999999999818512,NA,NA
"rh_caudalanteriorcingulate",-0.999999999936766,NA,NA
"rh_caudalmiddlefrontal",-0.999999996426247,NA,NA
"rh_cuneus",-1.00000000013316,NA,NA
"rh_entorhinal",-0.999999999816689,NA,NA
"rh_fusiform",-0.999999999859903,NA,NA
"rh_inferiorparietal",-1.0000000001604,NA,NA
"rh_inferiortemporal",-0.999999999934961,NA,NA
"rh_isthmuscingulate",1.0000000019349,NA,NA
"rh_lateraloccipital",-0.999999999955907,NA,NA
"rh_lateralorbitofrontal",-0.999999999763984,NA,NA
"rh_lingual",-0.999999999982323,NA,NA
"rh_medialorbitofrontal",-1.00000000016539,NA,NA
"rh_middletemporal",-1.00000000035359,NA,NA
"rh_parahippocampal",-0.999999999974933,NA,NA
"rh_paracentral",-1.00000000006447,NA,NA
"rh_parsopercularis",-0.999999999943375,NA,NA
"rh_parsorbitalis",-0.999999999892448,NA,NA
"rh_parstriangularis",-0.999999999757524,NA,NA
"rh_pericalcarine",-1.00000000006249,NA,NA
"rh_postcentral",-1.00000000005678,NA,NA
"rh_posteriorcingulate",-0.9999999997839,NA,NA
"rh_precentral",-0.999999999815833,NA,NA
"rh_precuneus",-1.00000000024675,NA,NA
"rh_rostralanteriorcingulate",-0.999999998978837,NA,NA
"rh_rostralmiddlefrontal",-1.00000000006601,NA,NA
"rh_superiorfrontal",-0.999999999917263,NA,NA
"rh_superiorparietal",-0.999999999877094,NA,NA
"rh_superiortemporal",-1.00000000004589,NA,NA
"rh_supramarginal",-0.999999999852839,NA,NA
"rh_frontalpole",-0.9999999999713,NA,NA
"rh_temporalpole",-0.999999999623866,NA,NA
"rh_transversetemporal",-1.00000000015183,NA,NA
"rh_insula",-1.0000000000605,NA,NA
